Date,Sales,Isolation_Anomaly,Z_Anomaly,Z_Score,Possible Explanation
2015-01-04,304.508,True,False,,Possible post-holiday demand correction or seasonal slowdown.
2015-02-08,968.534,True,False,-0.959023935635584,Possible post-holiday demand correction or seasonal slowdown.
2015-02-22,224.912,True,False,-1.255254371649763,Possible post-holiday demand correction or seasonal slowdown.
2015-03-22,37703.665,True,True,2.460650240983446,"Possible major bulk order, promotion, or temporary demand surge."
2015-07-19,1387.686,True,False,-1.5774516408076906,"Possible stock shortage, demand decline, or operational disruption."
2015-07-26,21590.079999999998,False,True,2.136467327649536,"Possible major bulk order, promotion, or temporary demand surge."
2015-09-13,29959.137,True,False,1.9011609151469016,"Possible major bulk order, promotion, or temporary demand surge."
2016-01-24,358.522,True,False,-1.1419649961178533,Possible post-holiday demand correction or seasonal slowdown.
2016-08-28,15773.478,False,True,2.05392359983461,"Possible major bulk order, promotion, or temporary demand surge."
2016-09-18,24095.96,False,True,2.1220822194177837,"Possible major bulk order, promotion, or temporary demand surge."
2017-05-28,23367.662,False,True,2.008224557900819,"Possible major bulk order, promotion, or temporary demand surge."
2017-12-17,25449.8,True,False,0.9462621119121815,Possible festive or year-end promotion demand spike.
2018-03-25,26029.904,False,True,2.43562702696662,"Possible major bulk order, promotion, or temporary demand surge."
2018-11-04,29017.467,True,False,1.5303690404216317,Possible festive or year-end promotion demand spike.
2018-11-18,30572.447,True,False,1.4951013580418722,Possible festive or year-end promotion demand spike.
2018-12-02,35998.9,True,False,1.6192399287613681,Possible festive or year-end promotion demand spike.
